characteristics,group1_c,group1_u,group1_i,group2_c,group2_u,group2_i,group3_c,group3_u,group3_i,group4_c,group4_u,group4_i,group5_c,group5_u,group5_i,group6_c,group6_u,group6_i,group7_c,group7_u,group7_i,group8_c,group8_u,group8_i,group9_c,group9_u,group9_i,group10_c,group10_u,group10_i
vote1,2,2,2,3,3,3,2,2,3,3,3,3,-,-,-,3,2,3,3,3,3,2,1,1,1,2,2,-,-,-
vote2,2,3,3,3,3,3,2,3,3,3,3,3,-,-,-,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
vote3,2,3,1,3,2,3,0,2,2,2,1,3,2,2,2,3,3,3,0,2,3,3,2,3,-,-,-,2,2,2
vote4,2,2,1,2,2,1,0,1,1,2,1,3,1,1,2,3,2,2,1,1,1,2,2,2,-,-,-,2,1,1
vote5,2,3,2,2,2,2,1,2,3,-,-,-,2,0,0,3,2,2,2,1,1,3,1,3,0,0,1,3,2,2
vote6,3,2,3,3,2,3,1,1,1,-,-,-,1,0,0,3,2,2,1,2,2,2,2,2,0,0,0,2,2,3
vote7,3,3,3,3,2,3,2,2,2,2,2,3,1,2,2,3,2,3,2,2,2,-,-,-,2,1,2,2,2,2
vote8,3,3,3,3,2,3,2,2,2,2,2,3,1,2,2,3,2,3,2,2,2,-,-,-,2,1,2,2,2,2
vote9,3,3,3,2,2,2,3,2,2,3,3,3,2,1,2,2,2,2,2,2,3,-,-,-,1,2,2,2,2,2
vote10,3,3,3,2,2,3,3,3,3,3,3,3,2,2,1,2,2,2,2,1,2,-,-,-,1,1,2,2,2,1
vote11,3,3,3,3,2,3,2,2,2,3,3,3,1,2,2,3,3,3,2,2,2,-,-,-,2,2,2,3,2,2
vote12,3,3,1,2,2,2,-,-,-,2,1,3,2,2,2,3,2,3,1,2,2,2,2,3,3,2,2,2,1,2
vote13,2,2,2,2,2,2,1,1,1,-,-,-,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2
vote14,2,1,2,3,3,2,2,2,3,1,2,3,1,2,1,2,2,3,3,2,3,2,1,2,3,1,3,2,2,2
vote15,3,3,3,2,2,3,1,2,3,-,-,-,1,2,2,2,2,3,3,2,3,3,2,3,3,2,3,2,2,3
vote16,2,2,3,3,2,3,2,2,3,-,-,-,1,2,3,3,3,3,2,2,3,2,1,3,3,1,2,3,2,3
vote17,2,2,3,3,2,2,2,2,2,-,-,-,1,2,3,2,2,3,2,2,3,2,1,3,2,1,3,2,2,2
vote18,2,2,2,-,-,-,3,2,2,2,3,3,0,1,0,2,2,3,1,1,2,1,2,2,0,0,0,1,1,2
vote19,3,2,2,3,1,2,2,1,1,2,3,1,1,1,2,2,3,2,-,-,-,2,1,2,2,1,1,3,1,2
vote20,2,3,3,3,2,3,2,2,2,3,3,3,2,2,2,3,3,3,3,2,3,3,2,2,2,2,2,-,-,-
vote21,3,3,3,3,2,3,2,2,2,3,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,-,-,-
vote22,3,3,3,3,2,2,2,1,2,2,2,3,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,-,-,-
vote23,3,2,2,3,1,2,1,0,0,2,0,3,-,-,-,3,2,3,-,-,-,2,0,1,1,1,1,3,1,2
vote24,3,2,3,3,2,2,2,2,2,3,1,2,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,-,-,-
vote25,-,-,-,2,2,2,2,3,3,2,2,3,1,2,3,3,2,3,1,2,2,3,1,2,2,1,2,3,3,3
vote26,-,-,-,2,2,2,3,2,2,2,2,3,2,1,1,2,2,2,1,1,2,2,1,2,1,1,2,3,3,3
vote27,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,-,-,-,3,2,2,3,2,3,3,1,2,3,2,3
vote28,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,-,-,-,3,3,3,3,3,3,2,3,3,3,3,3
vote29,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,-,-,-,3,3,3,3,3,3,3,2,3,3,3,3
vote30,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,-,-,-,2,3,3,3,3,3,3,2,2,3,3,3
vote31,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,-,-,-,3,2,3,3,3,3,2,2,3,3,3,3
vote32,2,3,3,-,-,-,2,2,3,3,3,3,2,2,2,3,2,3,2,3,3,2,2,2,3,3,2,2,2,3
vote33,2,2,2,-,-,-,2,2,2,2,3,3,1,1,1,3,2,3,2,2,2,2,2,3,1,2,2,3,3,3
vote34,2,2,1,2,2,1,2,1,0,0,1,3,3,2,2,2,1,1,2,2,1,2,2,2,-,-,-,2,0,1
vote35,2,2,3,2,2,2,1,2,1,2,3,3,1,0,0,2,3,2,-,-,-,2,1,1,1,1,1,2,2,2
vote36,3,3,3,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,2,2,2
vote37,3,3,3,3,2,3,-,-,-,2,2,3,1,2,3,3,3,3,-,-,-,2,3,2,2,2,2,2,3,2
vote38,3,2,3,-,-,-,2,2,2,3,1,3,1,1,1,2,2,2,3,2,2,2,2,2,0,0,1,-,-,-
vote39,3,2,2,3,3,3,2,2,3,3,3,3,-,-,-,3,2,3,2,2,3,1,1,3,2,3,3,3,2,2
vote40,3,3,3,-,-,-,3,2,3,3,2,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,2,2,2
vote41,2,2,1,2,2,2,1,2,2,2,2,3,2,1,2,2,1,2,1,2,2,2,1,2,-,-,-,2,2,2
